URL_ID,URL,Positive_score,Negative_score,Polarity_Score,Subjectivity_score,Avg_sentence_lenght,Percent_Complex_Words,Fog_index,Average_Words_Per_Sentence,Complex_Word_Count,Word_count,Total_Syllable_Count,Syllable_Count,Personal_Pronoun_Count,Avg_word_length
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,141,45,0.5161290294831773,141.30612244689712,17.316384180790962,0.29461663947797717,7.051317130717691,0.8305084745762712,956,3065,6699,6699,2,5.088347393027747
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,21,6,0.5555555349794246,21.04081632625295,10.98076923076923,0.287215411558669,4.512097534689478,2.826923076923077,171,571,1299,1299,1,5.088347393027747
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,23,10,0.3939393820018369,23.068027210421583,20.114285714285714,0.24289772727272727,8.143441558441559,4.2,172,704,1488,1488,1,5.088347393027747
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,13,6,0.36842103324099823,13.04081632625295,10.339622641509434,0.2846715328467153,4.2526373777716575,2.7735849056603774,160,548,1224,1224,1,5.088347393027747
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,17,3,0.6999999650000017,17.020408163126476,23.724137931034484,0.23546511627906977,9.589655172413794,5.068965517241379,172,688,1379,1379,1,5.088347393027747
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,10,11,-0.04761904535147403,10.074829931463743,10.075471698113208,0.27715355805243447,4.1425482298070815,2.7735849056603774,150,534,1145,1145,1,5.088347393027747
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,8,4,0.3333333055555579,8.027210884168634,13.96551724137931,0.254320987654321,5.694848871860366,5.068965517241379,110,405,847,847,1,5.088347393027747
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,8,4,0.3333333055555579,8.027210884168634,17.88,0.25727069351230425,7.256697986577182,5.88,117,447,906,906,1,5.088347393027747
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,8,15,-0.3043478128544429,8.102040815632375,21.153846153846153,0.20727272727272728,8.547356643356643,5.653846153846154,118,550,1119,1119,1,5.088347393027747
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,26,9,0.4857142718367351,26.061224489379427,28.0,0.31773399014778325,11.33152709359606,5.068965517241379,267,812,1794,1794,4,5.088347393027747
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,31,10,0.5121951094586559,31.068027210421583,11.018867924528301,0.2654109589041096,4.519191005427759,2.7735849056603774,163,584,1292,1292,1,5.088347393027747
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,19,8,0.4074073923182447,19.054421768337267,24.235294117647058,0.20509708737864077,9.779069103369503,4.323529411764706,175,824,1678,1678,1,5.088347393027747
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,17,4,0.6190475895691624,17.027210884168632,33.6,0.2261904761904762,13.535238095238098,7.35,160,672,1359,1359,8,5.088347393027747
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,30,11,0.4634146228435458,30.074829931463743,29.620689655172413,0.22933643771827705,11.946063987796556,5.068965517241379,210,859,1740,1740,11,5.088347393027747
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,23,9,0.4374999863281255,23.061224489379427,24.486486486486488,0.206401766004415,9.882894815345146,3.972972972972973,200,906,1825,1825,24,5.088347393027747
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,35,6,0.7073170559190962,35.04081632625295,24.710526315789473,0.21192758253461128,9.97238944005381,3.8684210526315788,207,939,1788,1788,8,5.088347393027747
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,19,4,0.6521738846880919,19.027210884168632,19.57777777777778,0.21793416572077184,7.921917013494767,3.2666666666666666,200,881,1732,1732,10,5.088347393027747
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,27,13,0.34999999125000025,27.08843537354806,26.384615384615383,0.19825072886297376,10.635867533826719,3.769230769230769,211,1029,2049,2049,1,5.088347393027747
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,42,12,0.55555554526749,42.0816326525059,25.244444444444444,0.2227112676056338,10.190031298904538,3.2666666666666666,262,1136,2236,2236,23,5.088347393027747
bctech2030,https://insights.blackcoffer.com/end-to-end-tool-to-predict-biofuel-prices-using-ieso-data/,29,20,0.18367346563931702,29.136054420843166,27.09375,0.20761245674740483,10.92792675893887,4.59375,196,867,1760,1760,5,5.088347393027747
bctech2031,https://insights.blackcoffer.com/etl-discovery-tool-using-llma-langchain-openai/,26,5,0.677419332986473,26.03401360521079,26.162790697674417,0.24355555555555555,10.563605167958656,3.4186046511627906,277,1125,2258,2258,16,5.088347393027747
bctech2032,https://insights.blackcoffer.com/gpt-ocr-api/,3,2,0.199999960000008,3.013605442084317,25.80952380952381,0.16789667896678967,10.392444210156388,7.0,93,542,964,964,7,5.088347393027747
bctech2033,https://insights.blackcoffer.com/dockerize-the-aws-lambda-for-serverless-architecture/,10,11,-0.04761904535147403,10.074829931463743,21.12121212121212,0.2467718794835007,8.549489152645538,4.454545454545454,176,697,1472,1472,2,5.088347393027747
bctech2034,https://insights.blackcoffer.com/design-and-develop-a-product-recommendation-engine-based-on-the-features-of-products/,33,27,0.09999999833333337,33.183673468138274,26.558139534883722,0.2136602451838879,10.71082148820918,3.4186046511627906,250,1142,2196,2196,1,5.088347393027747
bctech2035,https://insights.blackcoffer.com/database-discovery-tool-using-openai/,28,23,0.09803921376393698,28.156462583969642,19.0,0.2794486215538847,7.7137844611528825,3.5,227,798,1698,1698,5,5.088347393027747
bctech2036,https://insights.blackcoffer.com/automate-the-data-management-process/,38,11,0.5510203969179511,38.07482993146374,20.34,0.1750245821042281,8.21112291052114,2.94,191,1017,1906,1906,2,5.088347393027747
bctech2037,https://insights.blackcoffer.com/realtime-kibana-dashboard-for-a-financial-tech-firm/,22,18,0.09999999750000006,22.12244897875885,37.89655172413793,0.13830755232029118,15.217219415769822,5.068965517241379,161,1099,2006,2006,13,5.088347393027747
bctech2038,https://insights.blackcoffer.com/data-management-etl-and-data-automation/,12,1,0.8461537810650938,12.006802721042158,28.77777777777778,0.13513513513513514,11.567481767481768,8.166666666666666,73,518,889,889,7,5.088347393027747
bctech2039,https://insights.blackcoffer.com/data-management-egeas/,7,1,0.7499999062500118,7.006802721042158,25.153846153846153,0.14067278287461774,10.119030816278524,11.307692307692308,47,327,572,572,5,5.088347393027747
bctech2040,https://insights.blackcoffer.com/design-and-develop-powershell-script/,5,2,0.4285713673469475,5.013605442084317,203.0,0.1354679802955665,81.2551724137931,73.5,56,406,712,712,13,5.088347393027747
